"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"0","aero","1","total emission rate of nh3","kg m-2 s-1","","None","eminh3","tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","eminh3","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","dry deposition rate of nh3","kg m-2 s-1","","None","drynh3","tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","drynh3","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","dry deposition rate of nh4","kg m-2 s-1","","None","drynh4","tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","drynh4","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Wet Deposition Rate of NH4+NH3","kg m-2 s-1","","None","wetnh4xx","tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetnh4xx","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","total emission rate of seasalt","kg m-2 s-1","","None","emiss","tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emiss","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","dry deposition rate of seasalt","kg m-2 s-1","","None","dryss","tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","dryss","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","wet deposition rate of seasalt","kg m-2 s-1","","None","wetss","tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetss","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","total emission rate of dust","kg m-2 s-1","","None","emidust","tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_emission","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","emidust","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","dry deposition rate of dust","kg m-2 s-1","","None","drydust","tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_dry_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","drydust","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","wet deposition rate of dust","kg m-2 s-1","","None","wetdust","tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_wet_deposition","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","wetdust","aerosol","mon","area: areacella","None","None","",""
